Posted Date,Reference Number,Payee,Address,Amount
04/30/2023,24692163333107312881253,Amazon,Online,-25.50
04/28/2023,24492153332852738259899,Walmart,123 Main St,-30.35
04/26/2023,24492153332852738259898,Starbucks,456 Oak Ave,-6.25
04/24/2023,24492153332852738259897,Target,789 Elm Blvd,-42.10
04/22/2023,24492153332852738259896,McDonald's,101 Pine St,-19.99
04/20/2023,24492153332852738259895,Best Buy,234 Cedar Dr,-95.99
04/18/2023,24492153332852738259894,CVS,345 Birch Ln,-18.50
04/16/2023,24492153332852738259893,Amazon,Online,-35.60
04/14/2023,24492153332852738259892,Starbucks,456 Oak Ave,-12.75
04/12/2023,24492153332852738259891,Walmart,123 Main St,-35.20
04/10/2023,24492153332852738259890,Target,789 Elm Blvd,-25.30
04/08/2023,24492153332852738259889,McDonald's,101 Pine St,-9.45
04/06/2023,24492153332852738259888,Best Buy,234 Cedar Dr,-80.99
04/04/2023,24492153332852738259887,CVS,345 Birch Ln,-15.75
04/02/2023,24492153332852738259886,Amazon,Online,-28.25
