Posted Date,Reference Number,Payee,Address,Amount
08/31/2023,24692163333107312881253,Amazon,Online,-20.50
08/29/2023,24492153332852738259899,Apple Store,789 Elm Blvd,-12.00
08/27/2023,24492153332852738259898,Starbucks,456 Oak Ave,-4.75
08/25/2023,24492153332852738259897,Target,789 Elm Blvd,-48.20
08/23/2023,24492153332852738259896,McDonald's,101 Pine St,-16.99
08/21/2023,24492153332852738259895,Best Buy,234 Cedar Dr,-75.99
08/19/2023,24492153332852738259894,CVS,345 Birch Ln,-18.50
08/17/2023,24492153332852738259893,Amazon,Online,-40.60
08/15/2023,24492153332852738259892,Starbucks,456 Oak Ave,-8.75
08/13/2023,24492153332852738259891,Walmart,123 Main St,-35.20
08/11/2023,24492153332852738259890,Target,789 Elm Blvd,-22.30
08/09/2023,24492153332852738259889,McDonald's,101 Pine St,-9.45
08/07/2023,24492153332852738259888,Best Buy,234 Cedar Dr,-92.99
08/05/2023,24492153332852738259887,CVS,345 Birch Ln,-15.75
08/03/2023,24492153332852738259886,Amazon,Online,-28.25
