Posted Date,Reference Number,Payee,Address,Amount
02/28/2023,24692163333107312881253,Amazon,Online,-18.50
02/27/2023,24492153332852738259899,Apple Store,789 Elm Blvd,-10.00
02/26/2023,24492153332852738259898,Starbucks,456 Oak Ave,-4.75
02/25/2023,24492153332852738259897,Target,789 Elm Blvd,-55.20
02/24/2023,24492153332852738259896,McDonald's,101 Pine St,-15.99
02/23/2023,24492153332852738259895,Best Buy,234 Cedar Dr,-65.99
02/22/2023,24492153332852738259894,CVS,345 Birch Ln,-20.30
02/21/2023,24492153332852738259893,Amazon,Online,-35.60
02/20/2023,24492153332852738259892,Starbucks,456 Oak Ave,-6.75
02/19/2023,24492153332852738259891,Walmart,123 Main St,-30.20
02/18/2023,24492153332852738259890,Target,789 Elm Blvd,-18.30
02/17/2023,24492153332852738259889,McDonald's,101 Pine St,-9.45
02/16/2023,24492153332852738259888,Best Buy,234 Cedar Dr,-95.99
02/15/2023,24492153332852738259887,CVS,345 Birch Ln,-12.75
02/14/2023,24492153332852738259886,Amazon,Online,-28.25
