Posted Date,Reference Number,Payee,Address,Amount
01/31/2023,24692163333107312881253,Amazon,Online,-45.20
01/29/2023,24492153332852738259899,Walmart,123 Main St,-20.35
01/27/2023,24492153332852738259898,Starbucks,456 Oak Ave,-4.75
01/25/2023,24492153332852738259897,Target,789 Elm Blvd,-32.10
01/23/2023,24492153332852738259896,McDonald's,101 Pine St,-18.99
01/21/2023,24492153332852738259895,Best Buy,234 Cedar Dr,-79.99
01/19/2023,24492153332852738259894,CVS,345 Birch Ln,-15.50
01/17/2023,24492153332852738259893,Amazon,Online,-55.60
01/15/2023,24492153332852738259892,Starbucks,456 Oak Ave,-10.75
01/13/2023,24492153332852738259891,Walmart,123 Main St,-45.20
01/11/2023,24492153332852738259890,Target,789 Elm Blvd,-22.30
01/09/2023,24492153332852738259889,McDonald's,101 Pine St,-8.45
01/07/2023,24492153332852738259888,Best Buy,234 Cedar Dr,-102.99
01/05/2023,24492153332852738259887,CVS,345 Birch Ln,-12.75
01/03/2023,24492153332852738259886,Amazon,Online,-38.25
