Posted Date,Reference Number,Payee,Address,Amount
07/31/2023,24692163333107312881253,Amazon,Online,-18.50
07/29/2023,24492153332852738259899,Walmart,123 Main St,-32.35
07/27/2023,24492153332852738259898,Starbucks,456 Oak Ave,-5.25
07/25/2023,24492153332852738259897,Target,789 Elm Blvd,-50.10
07/23/2023,24492153332852738259896,McDonald's,101 Pine St,-18.99
07/21/2023,24492153332852738259895,Best Buy,234 Cedar Dr,-70.99
07/19/2023,24492153332852738259894,CVS,345 Birch Ln,-12.50
07/17/2023,24492153332852738259893,Amazon,Online,-36.60
07/15/2023,24492153332852738259892,Starbucks,456 Oak Ave,-10.75
07/13/2023,24492153332852738259891,Walmart,123 Main St,-40.20
07/11/2023,24492153332852738259890,Target,789 Elm Blvd,-18.30
07/09/2023,24492153332852738259889,McDonald's,101 Pine St,-7.45
07/07/2023,24492153332852738259888,Best Buy,234 Cedar Dr,-80.99
07/05/2023,24492153332852738259887,CVS,345 Birch Ln,-14.75
07/03/2023,24492153332852738259886,Amazon,Online,-24.25
