Posted Date,Reference Number,Payee,Address,Amount
06/30/2023,24692163333107312881253,Amazon,Online,-12.50
06/28/2023,24492153332852738259899,Walmart,123 Main St,-25.35
06/26/2023,24492153332852738259898,Starbucks,456 Oak Ave,-7.25
06/24/2023,24492153332852738259897,Target,789 Elm Blvd,-52.10
06/22/2023,24492153332852738259896,McDonald's,101 Pine St,-25.99
06/20/2023,24492153332852738259895,Best Buy,234 Cedar Dr,-80.99
06/18/2023,24492153332852738259894,CVS,345 Birch Ln,-15.50
06/16/2023,24492153332852738259893,Amazon,Online,-38.60
06/14/2023,24492153332852738259892,Starbucks,456 Oak Ave,-12.75
06/12/2023,24492153332852738259891,Walmart,123 Main St,-45.20
06/10/2023,24492153332852738259890,Target,789 Elm Blvd,-20.30
06/08/2023,24492153332852738259889,McDonald's,101 Pine St,-8.45
06/06/2023,24492153332852738259888,Best Buy,234 Cedar Dr,-90.99
06/04/2023,24492153332852738259887,CVS,345 Birch Ln,-15.75
06/02/2023,24492153332852738259886,Amazon,Online,-28.25
