Posted Date,Reference Number,Payee,Address,Amount
03/31/2023,24692163333107312881253,Amazon,Online,-30.50
03/29/2023,24492153332852738259899,Walmart,123 Main St,-25.35
03/27/2023,24492153332852738259898,Starbucks,456 Oak Ave,-7.25
03/25/2023,24492153332852738259897,Target,789 Elm Blvd,-48.10
03/23/2023,24492153332852738259896,McDonald's,101 Pine St,-25.99
03/21/2023,24492153332852738259895,Best Buy,234 Cedar Dr,-89.99
03/19/2023,24492153332852738259894,CVS,345 Birch Ln,-10.50
03/17/2023,24492153332852738259893,Amazon,Online,-45.60
03/15/2023,24492153332852738259892,Starbucks,456 Oak Ave,-15.75
03/13/2023,24492153332852738259891,Walmart,123 Main St,-40.20
03/11/2023,24492153332852738259890,Target,789 Elm Blvd,-22.30
03/09/2023,24492153332852738259889,McDonald's,101 Pine St,-8.45
03/07/2023,24492153332852738259888,Best Buy,234 Cedar Dr,-50.99
03/05/2023,24492153332852738259887,CVS,345 Birch Ln,-15.75
03/03/2023,24492153332852738259886,Amazon,Online,-38.25
