Posted Date,Reference Number,Payee,Address,Amount
05/31/2023,24692163333107312881253,Amazon,Online,-18.50
05/29/2023,24492153332852738259899,Apple Store,789 Elm Blvd,-15.00
05/27/2023,24492153332852738259898,Starbucks,456 Oak Ave,-4.75
05/25/2023,24492153332852738259897,Target,789 Elm Blvd,-62.20
05/23/2023,24492153332852738259896,McDonald's,101 Pine St,-22.99
05/21/2023,24492153332852738259895,Best Buy,234 Cedar Dr,-75.99
05/19/2023,24492153332852738259894,CVS,345 Birch Ln,-22.30
05/17/2023,24492153332852738259893,Amazon,Online,-48.60
05/15/2023,24492153332852738259892,Starbucks,456 Oak Ave,-9.75
05/13/2023,24492153332852738259891,Walmart,123 Main St,-52.20
05/11/2023,24492153332852738259890,Target,789 Elm Blvd,-30.30
05/09/2023,24492153332852738259889,McDonald's,101 Pine St,-13.45
05/07/2023,24492153332852738259888,Best Buy,234 Cedar Dr,-65.99
05/05/2023,24492153332852738259887,CVS,345 Birch Ln,-14.75
05/03/2023,24492153332852738259886,Amazon,Online,-38.25
