Posted Date,Reference Number,Payee,Address,Amount
11/30/2023,24692163333107312881253,Amazon,Online,-18.50
11/29/2023,24492153332852738259899,Walmart,123 Main St,-32.35
11/27/2023,24492153332852738259898,Starbucks,456 Oak Ave,-5.25
11/25/2023,24492153332852738259897,Target,789 Elm Blvd,-50.10
11/23/2023,24492153332852738259896,McDonald's,101 Pine St,-18.99
11/21/2023,24492153332852738259895,Best Buy,234 Cedar Dr,-70.99
11/19/2023,24492153332852738259894,CVS,345 Birch Ln,-12.50
11/17/2023,24492153332852738259893,Amazon,Online,-36.60
11/15/2023,24492153332852738259892,Starbucks,456 Oak Ave,-10.75
11/13/2023,24492153332852738259891,Walmart,123 Main St,-40.20
11/11/2023,24492153332852738259890,Target,789 Elm Blvd,-18.30
11/09/2023,24492153332852738259889,McDonald's,101 Pine St,-7.45
11/07/2023,24492153332852738259888,Best Buy,234 Cedar Dr,-80.99
11/05/2023,24492153332852738259887,CVS,345 Birch Ln,-14.75
11/03/2023,24492153332852738259886,Amazon,Online,-24.25
