Posted Date,Reference Number,Payee,Address,Amount
10/31/2023,24692163333107312881253,Amazon,Online,-15.75
10/29/2023,24492153332852738259899,Walmart,123 Main St,-28.40
10/27/2023,24492153332852738259898,Starbucks,456 Oak Ave,-6.99
10/25/2023,24492153332852738259897,Target,789 Elm Blvd,-45.60
10/23/2023,24492153332852738259896,McDonald's,101 Pine St,-14.75
10/21/2023,24492153332852738259895,Best Buy,234 Cedar Dr,-60.25
10/19/2023,24492153332852738259894,CVS,345 Birch Ln,-9.99
10/17/2023,24492153332852738259893,Amazon,Online,-32.80
10/15/2023,24492153332852738259892,Starbucks,456 Oak Ave,-9.20
10/13/2023,24492153332852738259891,Walmart,123 Main St,-38.50
10/11/2023,24492153332852738259890,Target,789 Elm Blvd,-19.99
10/09/2023,24492153332852738259889,McDonald's,101 Pine St,-8.25
10/07/2023,24492153332852738259888,Best Buy,234 Cedar Dr,-72.60
10/05/2023,24492153332852738259887,CVS,345 Birch Ln,-11.75
10/03/2023,24492153332852738259886,Amazon,Online,-22.45
