Posted Date,Reference Number,Payee,Address,Amount
09/30/2023,24692163333107312881253,Amazon,Online,-22.50
09/28/2023,24492153332852738259899,Walmart,123 Main St,-28.35
09/26/2023,24492153332852738259898,Starbucks,456 Oak Ave,-6.25
09/24/2023,24492153332852738259897,Target,789 Elm Blvd,-52.10
09/22/2023,24492153332852738259896,McDonald's,101 Pine St,-21.99
09/20/2023,24492153332852738259895,Best Buy,234 Cedar Dr,-80.99
09/18/2023,24492153332852738259894,CVS,345 Birch Ln,-15.50
09/16/2023,24492153332852738259893,Amazon,Online,-38.60
09/14/2023,24492153332852738259892,Starbucks,456 Oak Ave,-12.75
09/12/2023,24492153332852738259891,Walmart,123 Main St,-45.20
09/10/2023,24492153332852738259890,Target,789 Elm Blvd,-20.30
09/08/2023,24492153332852738259889,McDonald's,101 Pine St,-8.45
09/06/2023,24492153332852738259888,Best Buy,234 Cedar Dr,-88.99
09/04/2023,24492153332852738259887,CVS,345 Birch Ln,-15.75
09/02/2023,24492153332852738259886,Amazon,Online,-28.25
